sample_id	population	superpopulation	tier	n_qualifying_variants	n_qualifying_genes	n_genes_with_shet	n_genes_missing_shet	n_high_pli_genes	sum_shet	max_shet	shet_burden	mean_cns_expression_percentile	max_cns_expression_percentile	empirical_percentile_within_1000G_EUR
NA12340	CEU	EUR	rare_pli30_ptv_gnomad1e3_ac1	6	6	6	0	4	0.60145	0.263671	0.48270456223831404	82.00323333333334	89.7062	96.38095238095238
NA11882	CEU	EUR	rare_pli30_ptv_gnomad1e3_ac1	6	5	4	1	4	0.46796299999999996	0.224326	0.4012069170275486	84.73603999999999	96.6334	90.0952380952381
HG00255	GBR	EUR	rare_pli30_ptv_gnomad1e3_ac1	6	6	6	0	1	0.413103	0.206841	0.3597433064988754	86.99263333333334	95.9732	86.0952380952381
HG00103	GBR	EUR	rare_pli30_ptv_gnomad1e3_ac1	6	6	6	0	4	0.39405	0.237918	0.35067016650766936	83.78588333333333	99.2918	84.76190476190476
HG00141	GBR	EUR	rare_pli30_ptv_gnomad1e3_ac1	6	5	5	0	4	0.326272	0.100521	0.2881188312765163	79.2822	91.3575	76.57142857142857
HG01775	IBS	EUR	rare_pli30_ptv_gnomad1e3_ac1	5	4	4	0	3	0.637409	0.294612	0.51216512487159	94.200075	97.5605	98.0952380952381
NA20503	TSI	EUR	rare_pli30_ptv_gnomad1e3_ac1	5	5	5	0	4	0.653167	0.207621	0.506121153608738	91.05180000000001	95.6102	97.9047619047619
HG00245	GBR	EUR	rare_pli30_ptv_gnomad1e3_ac1	5	5	4	1	2	0.54348	0.245698	0.45776933390225816	84.06269999999999	94.5284	95.04761904761905
HG01607	IBS	EUR	rare_pli30_ptv_gnomad1e3_ac1	5	5	5	0	3	0.5422589999999999	0.275414	0.45351542654263155	86.93428	96.3985	94.66666666666667
NA07000	CEU	EUR	rare_pli30_ptv_gnomad1e3_ac1	5	4	3	1	2	0.339142	0.320221	0.3330270511019129	89.84547500000001	97.742	82.47619047619048
